folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0160315203,1,01,1,4,1,,2,,,,,,,,,2,1,1,0,0, , ,0, , ,1,1,0,100,10000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,3000,0,0,0,741.75,0,741.75
0160315203,1,01,1,5,1,1,2,,,,,,,,,2,2,2,0,0, , ,0, , ,2,2,0,51000,8000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,93376,9704,0,60000,23087.47,2399.34,0,14835.16,10651.64,0
0160315205,1,01,1,4,1,,2,,,,,,,,,2,0, , , , , , , , , , , , ,20000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,37200,0,0,0,9197.8,0,9197.8
0160315205,1,01,1,5,1,1,2,,,,,,,,,2,0, , , , , , , , , , , ,197000,2000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,285224,17388,0,404000,70522.41,4299.23,0,99890.1,0,25068.46
0160316021,1,03,2,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,17700,100,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,2800,0,4350,0,684.78,0,1063.85,0,378.58
0160316023,1,03,2,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,15950, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,1920,0,8450,0,469.56,0,2066.57,0,1596.52
0160316024,1,01,2,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,40000,200,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,3840,0,12000,0,939.13,0,2934.78,0,1995.65
0160317512,1,02,1,4,1,,2,,,,,,,,,6,1,1,0,1,1,0,0, , ,0, , , ,150000,2, , , , , , , , ,4000,03, ,,2, , , , , , , , , ,2,4,0,0,0,6100,0,0,0,1491.84,0,1490.86
0160317512,1,02,1,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,89000,60000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,108100,19600,0,36200,26437.49,4793.47,0,8853.26,22377.71,0
0160317717,1,01,1,4,1,,2,,,,,,,,,6,1,1,0,1,0,1,0, , ,0, , , ,6000,2, , , , , , , , ,3000,06, ,,2, , , , , , , , , ,2,4,6000,0,0,27860,1475.4,0,0,6850.81,0,5373.44
