folioviv,foliohog,numren,id_trabajo,tipoact,clave,gasto
0160333411,1,01,2,4,B11,2000
0160333411,1,01,2,4,B07,3750
0160333411,1,01,2,4,B06,7500
0160333411,1,01,2,4,B00,18250
0160333713,1,01,2,5,C10,3800
0160333713,1,01,2,5,C08,486500
0160333713,1,01,2,5,C06,10000
0160333713,1,01,2,5,C04,40000
0160333713,1,01,2,5,C00,540300
0160333715,1,01,1,5,C08,157200
0160333715,1,01,1,5,C09,750
0160333715,1,01,1,5,C06,14400
0160333715,1,01,1,5,C00,172350
0160333715,1,01,1,4,B07,1200
0160333715,1,01,1,4,B02,12000
0160333715,1,01,1,4,B01,6000
0160333715,1,01,1,4,B00,19200
0160333919,1,03,1,4,B02,18000
0160333919,1,03,1,4,B07,1000
0160333919,1,03,1,5,C00,40000
0160333919,1,03,1,5,C08,40000
0160333919,1,03,1,4,B00,19000
0160335412,1,04,1,4,B02,3000
0160335412,1,04,1,5,C10,2000
0160335412,1,04,1,4,B06,24000
0160335412,1,04,1,4,B10,1200
0160335412,1,04,1,4,B11,600
0160335412,1,04,1,4,B00,42300
0160335412,1,04,1,5,C06,9000
0160335412,1,04,1,5,C07,24000
0160335412,1,04,1,5,C08,7200
0160335412,1,04,1,4,B01,13500
0160335412,1,04,1,5,C00,42200
0160335919,1,01,1,4,B02,1500
0160335919,1,01,1,4,B11,700
0160335919,1,01,1,4,B00,2200
0160336512,1,02,1,4,B00,20
0160336512,1,02,1,5,C08,1300
0160336512,1,02,1,5,C00,1300
0160336512,1,02,1,4,B10,20
0160337020,1,02,1,5,C00,150
0160337020,1,02,1,5,C08,150
0160337405,1,01,1,5,C00,1700
0160337405,1,01,1,5,C10,1200
0160337405,1,01,1,5,C09,500
0160337816,1,02,1,5,C01,2000
0160337816,1,02,1,5,C10,500
0160337816,1,02,1,5,C09,1000
0160337816,1,02,1,5,C08,23600
0160337816,1,02,1,5,C00,27100
0160340510,1,01,1,4,B07,710
0160340510,1,01,1,4,B00,3710
0160340510,1,01,1,4,B02,3000
0160340713,1,01,1,4,B21,500
0160340713,1,01,1,4,B07,240
0160340713,1,01,1,4,B02,3000
0160340713,1,01,1,5,C00,2800
0160340713,1,01,1,4,B00,3740
0160340713,1,01,1,5,C08,2800
0160340714,1,01,2,4,B07,550
0160340714,1,01,2,4,B00,550
0160340717,1,01,2,5,C00,21640
0160340717,1,01,2,5,C07,5400
0160340717,1,01,2,5,C08,16240
0160342022,1,02,1,5,C07,2280
0160342022,1,02,1,5,C00,11680
0160342022,1,02,1,5,C08,9400
0160342509,1,01,1,5,C10,5000
0160342509,1,01,1,5,C08,80000
0160342509,1,01,1,5,C00,95000
0160342509,1,01,1,4,B11,300
0160342509,1,01,1,5,C13,10000
0160342509,1,01,1,4,B07,2500
0160342509,1,01,1,4,B06,20000
0160342509,1,01,1,4,B00,33800
0160342509,1,01,1,4,B10,11000
0160342512,1,01,1,4,B00,7900
0160342512,1,01,1,4,B11,500
0160342512,1,01,1,4,B10,3000
0160342512,1,01,1,4,B09,2000
0160342512,1,01,1,4,B07,1500
0160342512,1,01,1,5,C09,200
0160342512,1,01,1,5,C08,1200
0160342512,1,01,1,5,C07,4500
0160342512,1,01,1,4,B15,900
0160342512,1,01,1,5,C00,5900
0160343204,1,01,1,4,B10,2000
0160343204,1,01,1,4,B07,3000
0160343204,1,01,1,4,B06,10000
0160343204,1,01,1,4,B05,2000
0160343204,1,01,1,4,B00,17000
0160343411,1,01,2,4,B00,7875
0160343411,1,01,2,5,C08,4000
0160343411,1,01,2,5,C00,4000
0160343411,1,01,2,4,B07,3875
0160343411,1,01,2,4,B02,4000
0160344019,1,01,1,4,B10,10000
0160344019,1,01,1,4,B07,5000
0160344019,1,01,1,4,B00,20500
0160344019,1,01,1,4,B06,5000
0160344019,1,01,1,4,B11,500
0160344303,1,01,1,4,B00,4200
0160344303,1,01,1,5,C09,200
0160344303,1,01,1,4,B02,1000
0160344303,1,01,1,5,C10,200
0160344303,1,01,1,4,B06,2000
0160344303,1,01,1,4,B07,1200
0160344303,1,01,1,5,C00,400
0160344305,1,01,1,5,C10,1000
0160344305,1,01,1,5,C09,500
0160344305,1,01,1,5,C00,16500
0160344305,1,01,1,4,B10,1000
0160344305,1,01,1,4,B07,500
0160344305,1,01,1,4,B00,1500
0160344305,1,01,1,5,C07,15000
0160344814,1,01,2,5,C00,6160
0160344814,1,01,2,5,C05,2260
0160344814,1,01,2,5,C08,600
0160344814,1,01,2,5,C10,100
0160344814,1,01,2,5,C07,3200
0160344815,1,01,1,5,C08,65280
0160344815,1,01,1,5,C06,24000
0160344815,1,01,1,5,C04,14000
0160344815,1,01,1,5,C00,104280
0160344815,1,01,1,5,C10,1000
0160345201,1,01,1,4,B11,3000
0160345201,1,01,1,4,B10,5000
0160345201,1,01,1,4,B06,3000
0160345201,1,01,1,5,C00,127200
0160345201,1,01,1,4,B02,25000
0160345201,1,01,1,5,C09,1000
0160345201,1,01,1,5,C10,2200
0160345201,1,01,1,4,B00,36000
0160345201,1,01,1,5,C08,124000
0160345510,1,01,1,5,C13,26000
0160345510,1,01,1,4,B02,40000
0160345510,1,01,1,4,B00,47200
0160345510,1,01,1,5,C09,9600
0160345510,1,01,1,5,C10,3200
0160345510,1,01,1,5,C08,159000
0160345510,1,01,1,5,C00,197800
0160345510,1,01,1,4,B11,2500
0160345510,1,01,1,4,B10,4000
0160345510,1,01,1,4,B07,700
0160345924,1,01,1,4,B09,36000
0160345924,1,01,1,4,B10,18000
0160345924,1,01,1,4,B06,36000
0160345924,1,01,1,4,B00,90000
0160346021,1,01,2,5,C00,11100
0160346021,1,01,2,5,C08,10800
0160346021,1,01,2,5,C10,300
0160346021,1,01,2,4,B02,3000
0160346021,1,01,2,4,B00,3000
0160346402,1,01,2,5,C00,3120
0160346402,1,01,2,5,C08,3120
0160346403,1,01,1,4,B07,20000
0160346403,1,01,1,4,B06,30000
0160346403,1,01,1,4,B04,5000
0160346403,1,01,1,4,B00,55000
0160346608,1,01,1,4,B07,2500
0160346608,1,01,1,4,B10,5000
0160346608,1,01,1,4,B15,10000
0160346608,1,01,1,5,C00,430000
0160346608,1,01,1,5,C08,288000
0160346608,1,01,1,5,C09,72000
0160346608,1,01,1,5,C10,50000
0160346608,1,01,1,5,C13,20000
0160346608,1,01,1,4,B00,37500
0160346608,1,01,1,4,B06,20000
0160347923,1,03,1,5,C07,6000
0160347923,1,03,1,5,C00,6600
0160347923,1,03,1,5,C10,600
0160347923,1,03,1,4,B00,6000
0160347923,1,03,1,4,B02,3000
0160347923,1,03,1,4,B06,3000
0160349019,1,01,1,4,B06,10000
0160349019,1,01,1,4,B07,4000
